dih  Etot    EPtot   BOND   ANGLE  DIHED   1-4NB  1-4EEL  VDWAALS  EELEC EGB
-180 20.7063 1.4779 5.4435 2.8766 9.2526 6.1446 36.6541 44.3715 -103.2651 0.0000
-179 20.7063 1.4779 5.4435 2.8766 9.2526 6.1446 36.6541 44.3715 -103.2651 0.0000
-178 24.7738 1.5000 5.4435 2.8766 9.2557 6.1446 36.6539 44.3715 -103.2459 0.0000
-177 20.6466 1.5274 5.4435 2.8766 9.2650 6.1446 36.6536 44.3715 -103.2274 0.0000
-176 19.2957 1.5602 5.4435 2.8766 9.2804 6.1446 36.6529 44.3715 -103.2094 0.0000
-175 23.6234 1.5982 5.4435 2.8766 9.3020 6.1446 36.6521 44.3715 -103.1921 0.0000
-174 28.7574 1.6415 5.4435 2.8766 9.3298 6.1446 36.6509 44.3715 -103.1754 0.0000
-173 27.5618 1.6900 5.4435 2.8766 9.3636 6.1446 36.6495 44.3715 -103.1594 0.0000
-172 21.6598 1.7436 5.4435 2.8766 9.4034 6.1446 36.6479 44.3715 -103.1440 0.0000
-171 20.6348 1.8023 5.4435 2.8766 9.4493 6.1446 36.6460 44.3715 -103.1292 0.0000
-170 18.4001 1.8660 5.4435 2.8766 9.5012 6.1446 36.6438 44.3715 -103.1152 0.0000
-169 21.6072 1.9347 5.4435 2.8766 9.5589 6.1446 36.6414 44.3715 -103.1018 0.0000
-168 23.1721 2.0082 5.4435 2.8766 9.6225 6.1446 36.6387 44.3715 -103.0892 0.0000
-167 28.0987 2.0865 5.4435 2.8766 9.6919 6.1446 36.6357 44.3715 -103.0773 0.0000
-166 23.2957 2.1695 5.4435 2.8766 9.7669 6.1446 36.6325 44.3715 -103.0660 0.0000
-165 26.3056 2.2571 5.4435 2.8766 9.8475 6.1446 36.6289 44.3715 -103.0555 0.0000
-164 24.1869 2.3492 5.4435 2.8766 9.9337 6.1446 36.6251 44.3715 -103.0458 0.0000
-163 28.4890 2.4457 5.4435 2.8766 10.0252 6.1446 36.6210 44.3715 -103.0367 0.0000
-162 23.7565 2.5465 5.4435 2.8766 10.1221 6.1446 36.6166 44.3715 -103.0284 0.0000
-161 25.6580 2.6515 5.4435 2.8766 10.2242 6.1446 36.6119 44.3715 -103.0207 0.0000
-160 21.2370 2.7606 5.4435 2.8766 10.3313 6.1446 36.6069 44.3715 -103.0138 0.0000
-159 31.2582 2.8736 5.4435 2.8766 10.4434 6.1446 36.6015 44.3715 -103.0076 0.0000
-158 19.8536 2.9905 5.4435 2.8766 10.5604 6.1446 36.5958 44.3715 -103.0020 0.0000
-157 28.7463 3.1111 5.4435 2.8766 10.6820 6.1446 36.5899 44.3715 -102.9971 0.0000
-156 22.6173 3.2353 5.4435 2.8766 10.8082 6.1446 36.5835 44.3715 -102.9927 0.0000
-155 24.0589 3.3631 5.4435 2.8766 10.9389 6.1446 36.5769 44.3715 -102.9889 0.0000
