dih  Etot    EPtot   BOND   ANGLE  DIHED   1-4NB  1-4EEL  VDWAALS  EELEC EGB
-125 5.9849 -14.8692 5.4435 2.8766 16.0573 6.1446 36.1796 44.3715 -102.5575 -23.3849
-124 10.5445 -14.6441 5.4435 2.8766 16.2361 6.1446 36.1586 44.3715 -102.4995 -23.3756
-123 13.9119 -14.4168 5.4435 2.8766 16.4134 6.1446 36.1370 44.3715 -102.4359 -23.3675
-122 6.4902 -14.1873 5.4435 2.8766 16.5888 6.1446 36.1149 44.3715 -102.3667 -23.3605
-121 4.9553 -13.9555 5.4435 2.8766 16.7623 6.1446 36.0921 44.3715 -102.2915 -23.3546
-120 6.8915 -13.7215 5.4435 2.8766 16.9336 6.1446 36.0688 44.3715 -102.2104 -23.3498
-119 10.5315 -13.4854 5.4435 2.8766 17.1026 6.1446 36.0449 44.3715 -102.1230 -23.3461
-118 2.2553 -13.2472 5.4435 2.8766 17.2691 6.1446 36.0204 44.3715 -102.0294 -23.3436
-117 7.0612 -13.0070 5.4435 2.8766 17.4329 6.1446 35.9953 44.3715 -101.9293 -23.3422
-116 4.4822 -12.7651 5.4435 2.8766 17.5939 6.1446 35.9697 44.3715 -101.8229 -23.3419
-115 13.9968 -12.5214 5.4435 2.8766 17.7518 6.1446 35.9434 44.3715 -101.7100 -23.3428
-114 9.5992 -12.2761 5.4435 2.8766 17.9065 6.1446 35.9166 44.3715 -101.5908 -23.3446
-113 10.3929 -12.0295 5.4435 2.8766 18.0578 6.1446 35.8891 44.3715 -101.4652 -23.3475
-112 16.2137 -11.7818 5.4435 2.8766 18.2057 6.1446 35.8611 44.3715 -101.3335 -23.3513
-111 15.8688 -11.5334 5.4435 2.8766 18.3498 6.1446 35.8324 44.3715 -101.1958 -23.3561
-110 8.8996 -11.2845 5.4435 2.8766 18.4902 6.1446 35.8032 44.3715 -101.0523 -23.3619
-109 11.7661 -11.0357 5.4435 2.8766 18.6266 6.1446 35.7733 44.3715 -100.9032 -23.3687
-108 6.7235 -10.7873 5.4435 2.8766 18.7589 6.1446 35.7429 44.3715 -100.7489 -23.3764
-107 11.7543 -10.5398 5.4435 2.8766 18.8870 6.1446 35.7119 44.3715 -100.5898 -23.3851
-106 11.7920 -10.2937 5.4435 2.8766 19.0107 6.1446 35.6803 44.3715 -100.4262 -23.3947
-105 20.0285 -10.0496 5.4435 2.8766 19.1300 6.1446 35.6480 44.3715 -100.2585 -23.4053
-104 10.8427 -9.8081 5.4435 2.8766 19.2446 6.1446 35.6152 44.3715 -100.0874 -23.4168
-103 6.2620 -9.5698 5.4435 2.8766 19.3545 6.1446 35.5818 44.3715 -99.9132 -23.4292
-102 12.8272 -9.3352 5.4435 2.8766 19.4597 6.1446 35.5478 44.3715 -99.7365 -23.4425
-101 10.9097 -9.1052 5.4435 2.8766 19.5599 6.1446 35.5133 44.3715 -99.5579 -23.4567
-100 17.8071 -8.8803 5.4435 2.8766 19.6552 6.1446 35.4782 44.3715 -99.3780 -23.4717
-99 17.2782 -8.6612 5.4435 2.8766 19.7453 6.1446 35.4424 44.3715 -99.1975 -23.4876
-98 8.5069 -8.4487 5.4435 2.8766 19.8303 6.1446 35.4062 44.3715 -99.0171 -23.5043
-97 10.1730 -8.2434 5.4435 2.8766 19.9100 6.1446 35.3693 44.3715 -98.8372 -23.5217
-96 24.4235 -8.0461 5.4435 2.8766 19.9845 6.1446 35.3319 44.3715 -98.6587 -23.5399
-95 10.0568 -7.8574 5.4435 2.8766 20.0535 6.1446 35.2940 44.3715 -98.4822 -23.5589
-94 11.7727 -7.6780 5.4435 2.8766 20.1172 6.1446 35.2555 44.3715 -98.3084 -23.5785
-93 23.9309 -7.5087 5.4435 2.8766 20.1753 6.1446 35.2165 44.3715 -98.1379 -23.5988
-92 20.6774 -7.3500 5.4435 2.8766 20.2280 6.1446 35.1769 44.3715 -97.9714 -23.6197
-91 9.5511 -7.2025 5.4435 2.8766 20.2751 6.1446 35.1369 44.3715 -97.8095 -23.6412
-90 14.5215 -7.0668 5.4435 2.8766 20.3167 6.1446 35.0963 44.3715 -97.6527 -23.6633
-89 14.8758 -6.9434 5.4435 2.8766 20.3526 6.1446 35.0552 44.3715 -97.5017 -23.6858
-88 17.7028 -6.8329 5.4435 2.8766 20.3830 6.1446 35.0136 44.3715 -97.3570 -23.7087
-87 12.0759 -6.7356 5.4435 2.8766 20.4077 6.1446 34.9716 44.3715 -97.2191 -23.7321
-86 18.3662 -6.6520 5.4435 2.8766 20.4269 6.1446 34.9291 44.3715 -97.0884 -23.7558
