dih  Etot    EPtot   BOND   ANGLE  DIHED   1-4NB  1-4EEL  VDWAALS  EELEC EGB
-180 13.3512 -4.5171 5.4435 2.8766 11.5040 6.1446 27.5823 44.3715 -102.4396 0.0000
-179 13.3512 -4.5171 5.4435 2.8766 11.5040 6.1446 27.5823 44.3715 -102.4396 0.0000
-178 14.9268 -4.4987 5.4435 2.8766 11.5071 6.1446 27.5820 44.3715 -102.4240 0.0000
-177 18.2083 -4.4754 5.4435 2.8766 11.5164 6.1446 27.5810 44.3715 -102.4090 0.0000
-176 10.6564 -4.4473 5.4435 2.8766 11.5318 6.1446 27.5794 44.3715 -102.3948 0.0000
-175 16.1763 -4.4144 5.4435 2.8766 11.5534 6.1446 27.5772 44.3715 -102.3813 0.0000
-174 18.9147 -4.3768 5.4435 2.8766 11.5811 6.1446 27.5744 44.3715 -102.3685 0.0000
-173 14.6524 -4.3345 5.4435 2.8766 11.6149 6.1446 27.5709 44.3715 -102.3566 0.0000
-172 14.7796 -4.2876 5.4435 2.8766 11.6548 6.1446 27.5669 44.3715 -102.3455 0.0000
-171 14.1047 -4.2362 5.4435 2.8766 11.7007 6.1446 27.5621 44.3715 -102.3352 0.0000
-170 19.9969 -4.1803 5.4435 2.8766 11.7525 6.1446 27.5568 44.3715 -102.3258 0.0000
-169 17.2737 -4.1200 5.4435 2.8766 11.8103 6.1446 27.5508 44.3715 -102.3172 0.0000
-168 18.9326 -4.0553 5.4435 2.8766 11.8739 6.1446 27.5441 44.3715 -102.3096 0.0000
-167 15.7640 -3.9865 5.4435 2.8766 11.9432 6.1446 27.5369 44.3715 -102.3028 0.0000
-166 23.7545 -3.9135 5.4435 2.8766 12.0182 6.1446 27.5290 44.3715 -102.2970 0.0000
-165 16.6296 -3.8366 5.4435 2.8766 12.0989 6.1446 27.5204 44.3715 -102.2921 0.0000
-164 13.1937 -3.7556 5.4435 2.8766 12.1850 6.1446 27.5113 44.3715 -102.2882 0.0000
-163 21.0134 -3.6709 5.4435 2.8766 12.2766 6.1446 27.5015 44.3715 -102.2852 0.0000
-162 20.6944 -3.5824 5.4435 2.8766 12.3734 6.1446 27.4910 44.3715 -102.2831 0.0000
-161 20.4758 -3.4904 5.4435 2.8766 12.4755 6.1446 27.4799 44.3715 -102.2820 0.0000
-160 20.3848 -3.3948 5.4435 2.8766 12.5827 6.1446 27.4682 44.3715 -102.2818 0.0000
-159 19.4238 -3.2958 5.4435 2.8766 12.6948 6.1446 27.4558 44.3715 -102.2826 0.0000
-158 16.8429 -3.1936 5.4435 2.8766 12.8117 6.1446 27.4427 44.3715 -102.2843 0.0000
-157 20.3389 -3.0882 5.4435 2.8766 12.9334 6.1446 27.4291 44.3715 -102.2869 0.0000
-156 14.7901 -2.9797 5.4435 2.8766 13.0596 6.1446 27.4147 44.3715 -102.2903 0.0000
-155 25.0519 -2.8683 5.4435 2.8766 13.1903 6.1446 27.3998 44.3715 -102.2945 0.0000
