dih  Etot    EPtot   BOND   ANGLE  DIHED   1-4NB  1-4EEL  VDWAALS  EELEC EGB
-180 -1.3865 -28.8588 5.4435 2.8766 11.5040 6.1446 27.5823 44.3715 -102.4396 -24.3417
-179 -1.3865 -28.8588 5.4435 2.8766 11.5040 6.1446 27.5823 44.3715 -102.4396 -24.3417
-178 -9.7222 -28.7637 5.4435 2.8766 11.5071 6.1446 27.5820 44.3715 -102.4240 -24.2650
-177 -6.8361 -28.6620 5.4435 2.8766 11.5164 6.1446 27.5810 44.3715 -102.4090 -24.1866
-176 -3.7175 -28.5541 5.4435 2.8766 11.5318 6.1446 27.5794 44.3715 -102.3948 -24.1068
-175 -7.5863 -28.4407 5.4435 2.8766 11.5534 6.1446 27.5772 44.3715 -102.3813 -24.0263
-174 -4.0502 -28.3219 5.4435 2.8766 11.5811 6.1446 27.5744 44.3715 -102.3685 -23.9451
-173 -4.9970 -28.1979 5.4435 2.8766 11.6149 6.1446 27.5709 44.3715 -102.3566 -23.8634
-172 -2.5548 -28.0687 5.4435 2.8766 11.6548 6.1446 27.5669 44.3715 -102.3455 -23.7811
-171 -8.1894 -27.9346 5.4435 2.8766 11.7007 6.1446 27.5621 44.3715 -102.3352 -23.6984
-170 -4.0062 -27.7955 5.4435 2.8766 11.7525 6.1446 27.5568 44.3715 -102.3258 -23.6153
-169 -8.0596 -27.6517 5.4435 2.8766 11.8103 6.1446 27.5508 44.3715 -102.3172 -23.5317
-168 -6.2128 -27.5033 5.4435 2.8766 11.8739 6.1446 27.5441 44.3715 -102.3096 -23.4479
-167 -5.5374 -27.3503 5.4435 2.8766 11.9432 6.1446 27.5369 44.3715 -102.3028 -23.3638
-166 -5.9913 -27.1930 5.4435 2.8766 12.0182 6.1446 27.5290 44.3715 -102.2970 -23.2795
-165 -5.1868 -27.0315 5.4435 2.8766 12.0989 6.1446 27.5204 44.3715 -102.2921 -23.1950
-164 -3.9011 -26.8660 5.4435 2.8766 12.1850 6.1446 27.5113 44.3715 -102.2882 -23.1104
-163 -9.2476 -26.6966 5.4435 2.8766 12.2766 6.1446 27.5015 44.3715 -102.2852 -23.0257
-162 -1.5519 -26.5235 5.4435 2.8766 12.3734 6.1446 27.4910 44.3715 -102.2831 -22.9411
-161 -0.9168 -26.3468 5.4435 2.8766 12.4755 6.1446 27.4799 44.3715 -102.2820 -22.8565
-160 -1.4752 -26.1668 5.4435 2.8766 12.5827 6.1446 27.4682 44.3715 -102.2818 -22.7720
-159 2.2490 -25.9836 5.4435 2.8766 12.6948 6.1446 27.4558 44.3715 -102.2826 -22.6878
-158 -4.6111 -25.7973 5.4435 2.8766 12.8117 6.1446 27.4427 44.3715 -102.2843 -22.6038
-157 -7.2895 -25.6083 5.4435 2.8766 12.9334 6.1446 27.4291 44.3715 -102.2869 -22.5201
-156 -2.0326 -25.4165 5.4435 2.8766 13.0596 6.1446 27.4147 44.3715 -102.2903 -22.4368
-155 -2.4799 -25.2223 5.4435 2.8766 13.1903 6.1446 27.3998 44.3715 -102.2945 -22.3540
-154 2.8037 -25.0258 5.4435 2.8766 13.3252 6.1446 27.3841 44.3715 -102.2995 -22.2718
-153 -5.4753 -24.8271 5.4435 2.8766 13.4642 6.1446 27.3678 44.3715 -102.3053 -22.1901
-152 -3.6355 -24.6264 5.4435 2.8766 13.6073 6.1446 27.3509 44.3715 -102.3116 -22.1091
-151 -8.3005 -24.4239 5.4435 2.8766 13.7541 6.1446 27.3333 44.3715 -102.3186 -22.0289
-150 -5.2697 -24.2197 5.4435 2.8766 13.9046 6.1446 27.3150 44.3715 -102.3260 -21.9495
-149 -6.4910 -24.0140 5.4435 2.8766 14.0585 6.1446 27.2961 44.3715 -102.3339 -21.8710
-148 0.2616 -23.8069 5.4435 2.8766 14.2158 6.1446 27.2765 44.3715 -102.3420 -21.7935
-147 -5.2804 -23.5985 5.4435 2.8766 14.3762 6.1446 27.2563 44.3715 -102.3503 -21.7169
-146 -4.5551 -23.3890 5.4435 2.8766 14.5395 6.1446 27.2354 44.3715 -102.3586 -21.6416
-145 -0.5863 -23.1785 5.4435 2.8766 14.7056 6.1446 27.2138 44.3715 -102.3668 -21.5673
-144 -0.1534 -22.9670 5.4435 2.8766 14.8743 6.1446 27.1915 44.3715 -102.3747 -21.4944
-143 -1.2639 -22.7547 5.4435 2.8766 15.0454 6.1446 27.1686 44.3715 -102.3822 -21.4228
-142 0.8007 -22.5416 5.4435 2.8766 15.2186 6.1446 27.1450 44.3715 -102.3890 -21.3525
-141 2.2483 -22.3278 5.4435 2.8766 15.3939 6.1446 27.1208 44.3715 -102.3950 -21.2838
-140 2.0515 -22.1134 5.4435 2.8766 15.5710 6.1446 27.0959 44.3715 -102.3999 -21.2165
-139 -2.1882 -21.8983 5.4435 2.8766 15.7497 6.1446 27.0703 44.3715 -102.4036 -21.1510
-138 3.3687 -21.6827 5.4435 2.8766 15.9298 6.1446 27.0440 44.3715 -102.4057 -21.0871
-137 -4.4535 -21.4665 5.4435 2.8766 16.1112 6.1446 27.0170 44.3715 -102.4060 -21.0249
-136 4.4399 -21.2496 5.4435 2.8766 16.2935 6.1446 26.9894 44.3715 -102.4043 -20.9645
-135 3.3570 -21.0321 5.4435 2.8766 16.4767 6.1446 26.9611 44.3715 -102.4002 -20.9059
-134 7.1663 -20.8138 5.4435 2.8766 16.6605 6.1446 26.9321 44.3715 -102.3935 -20.8491
-133 0.7020 -20.5948 5.4435 2.8766 16.8447 6.1446 26.9025 44.3715 -102.3839 -20.7942
-132 -3.4138 -20.3749 5.4435 2.8766 17.0291 6.1446 26.8721 44.3715 -102.3711 -20.7412
-131 -2.7484 -20.1541 5.4435 2.8766 17.2135 6.1446 26.8411 44.3715 -102.3547 -20.6902
-130 4.8040 -19.9323 5.4435 2.8766 17.3977 6.1446 26.8094 44.3715 -102.3345 -20.6411
-129 -4.2014 -19.7095 5.4435 2.8766 17.5815 6.1446 26.7770 44.3715 -102.3101 -20.5942
-128 2.7554 -19.4860 5.4435 2.8766 17.7647 6.1446 26.7440 44.3715 -102.2812 -20.5497
-127 1.1494 -19.2617 5.4435 2.8766 17.9471 6.1446 26.7103 44.3715 -102.2475 -20.5078
-126 9.6810 -19.0364 5.4435 2.8766 18.1285 6.1446 26.6759 44.3715 -102.2087 -20.4683
-125 2.9796 -18.8101 5.4435 2.8766 18.3087 6.1446 26.6408 44.3715 -102.1645 -20.4313
-124 5.3161 -18.5827 5.4435 2.8766 18.4875 6.1446 26.6051 44.3715 -102.1147 -20.3968
-123 -0.5742 -18.3540 5.4435 2.8766 18.6647 6.1446 26.5686 44.3715 -102.0589 -20.3647
-122 1.9830 -18.1240 5.4435 2.8766 18.8402 6.1446 26.5315 44.3715 -101.9968 -20.3351
-121 2.5690 -17.8926 5.4435 2.8766 19.0136 6.1446 26.4938 44.3715 -101.9284 -20.3079
-120 -0.4291 -17.6600 5.4435 2.8766 19.1850 6.1446 26.4554 44.3715 -101.8533 -20.2833
-119 5.2890 -17.4262 5.4435 2.8766 19.3540 6.1446 26.4163 44.3715 -101.7714 -20.2613
