dih  Etot    EPtot   BOND   ANGLE  DIHED   1-4NB  1-4EEL  VDWAALS  EELEC EGB
-122 29.5448 8.8571 5.4435 2.8766 25.4862 6.1446 26.5315 44.3715 -101.9968 0.0000
-121 31.4757 9.0835 5.4435 2.8766 25.6819 6.1446 26.4938 44.3715 -101.9284 0.0000
-120 36.2980 9.3152 5.4435 2.8766 25.8769 6.1446 26.4554 44.3715 -101.8533 0.0000
-119 39.2093 9.5522 5.4435 2.8766 26.0711 6.1446 26.4163 44.3715 -101.7714 0.0000
-118 35.3318 9.7944 5.4435 2.8766 26.2642 6.1446 26.3765 44.3715 -101.6825 0.0000
-117 41.1025 10.0416 5.4435 2.8766 26.4559 6.1446 26.3361 44.3715 -101.5866 0.0000
-116 34.5106 10.2938 5.4435 2.8766 26.6461 6.1446 26.2951 44.3715 -101.4836 0.0000
-115 31.9786 10.5506 5.4435 2.8766 26.8344 6.1446 26.2533 44.3715 -101.3734 0.0000
-114 29.2393 10.8120 5.4435 2.8766 27.0208 6.1446 26.2110 44.3715 -101.2560 0.0000
-113 33.9977 11.0775 5.4435 2.8766 27.2049 6.1446 26.1680 44.3715 -101.1316 0.0000
-112 39.0886 11.3469 5.4435 2.8766 27.3865 6.1446 26.1243 44.3715 -101.0001 0.0000
-111 33.2441 11.6198 5.4435 2.8766 27.5654 6.1446 26.0800 44.3715 -100.8619 0.0000
-110 32.1238 11.8957 5.4435 2.8766 27.7413 6.1446 26.0351 44.3715 -100.7170 0.0000
-109 36.6248 12.1742 5.4435 2.8766 27.9141 6.1446 25.9895 44.3715 -100.5657 0.0000
-108 31.2214 12.4548 5.4435 2.8766 28.0836 6.1446 25.9434 44.3715 -100.4084 0.0000
-107 32.7436 12.7369 5.4435 2.8766 28.2494 6.1446 25.8966 44.3715 -100.2453 0.0000
-106 37.1423 13.0198 5.4435 2.8766 28.4113 6.1446 25.8492 44.3715 -100.0769 0.0000
-105 35.6680 13.3030 5.4435 2.8766 28.5693 6.1446 25.8012 44.3715 -99.9036 0.0000
-104 37.3450 13.5858 5.4435 2.8766 28.7230 6.1446 25.7525 44.3715 -99.7260 0.0000
-103 37.2159 13.8674 5.4435 2.8766 28.8723 6.1446 25.7033 44.3715 -99.5445 0.0000
