dih  Etot    EPtot   BOND   ANGLE  DIHED   1-4NB  1-4EEL  VDWAALS  EELEC EGB
-180 12.0680 -21.7507 5.4435 2.8766 9.2526 6.1446 36.6541 44.3715 -103.2651 -23.2286
-179 12.0680 -21.7507 5.4435 2.8766 9.2526 6.1446 36.6541 44.3715 -103.2651 -23.2286
-178 -1.1429 -21.6580 5.4435 2.8766 9.2557 6.1446 36.6539 44.3715 -103.2459 -23.1580
-177 6.7159 -21.5583 5.4435 2.8766 9.2650 6.1446 36.6536 44.3715 -103.2274 -23.0857
-176 -3.3299 -21.4521 5.4435 2.8766 9.2804 6.1446 36.6529 44.3715 -103.2094 -23.0123
-175 -5.9275 -21.3399 5.4435 2.8766 9.3020 6.1446 36.6521 44.3715 -103.1921 -22.9381
-174 4.2881 -21.2218 5.4435 2.8766 9.3298 6.1446 36.6509 44.3715 -103.1754 -22.8633
-173 -0.2306 -21.0980 5.4435 2.8766 9.3636 6.1446 36.6495 44.3715 -103.1594 -22.7880
-172 4.2202 -20.9686 5.4435 2.8766 9.4034 6.1446 36.6479 44.3715 -103.1440 -22.7122
-171 8.2724 -20.8336 5.4435 2.8766 9.4493 6.1446 36.6460 44.3715 -103.1292 -22.6359
-170 3.4845 -20.6932 5.4435 2.8766 9.5012 6.1446 36.6438 44.3715 -103.1152 -22.5592
-169 0.2156 -20.5475 5.4435 2.8766 9.5589 6.1446 36.6414 44.3715 -103.1018 -22.4822
-168 7.4670 -20.3966 5.4435 2.8766 9.6225 6.1446 36.6387 44.3715 -103.0892 -22.4048
-167 -1.3880 -20.2406 5.4435 2.8766 9.6919 6.1446 36.6357 44.3715 -103.0773 -22.3271
-166 3.7956 -20.0797 5.4435 2.8766 9.7669 6.1446 36.6325 44.3715 -103.0660 -22.2492
-165 0.0232 -19.9140 5.4435 2.8766 9.8475 6.1446 36.6289 44.3715 -103.0555 -22.1711
-164 9.4824 -19.7436 5.4435 2.8766 9.9337 6.1446 36.6251 44.3715 -103.0458 -22.0929
-163 4.7883 -19.5688 5.4435 2.8766 10.0252 6.1446 36.6210 44.3715 -103.0367 -22.0145
-162 3.0163 -19.3896 5.4435 2.8766 10.1221 6.1446 36.6166 44.3715 -103.0284 -21.9361
-161 5.8563 -19.2062 5.4435 2.8766 10.2242 6.1446 36.6119 44.3715 -103.0207 -21.8577
-160 5.5424 -19.0188 5.4435 2.8766 10.3313 6.1446 36.6069 44.3715 -103.0138 -21.7793
-159 -0.9454 -18.8275 5.4435 2.8766 10.4434 6.1446 36.6015 44.3715 -103.0076 -21.7011
-158 4.6621 -18.6326 5.4435 2.8766 10.5604 6.1446 36.5958 44.3715 -103.0020 -21.6230
-157 5.2793 -18.4342 5.4435 2.8766 10.6820 6.1446 36.5899 44.3715 -102.9971 -21.5452
-156 7.3874 -18.2324 5.4435 2.8766 10.8082 6.1446 36.5835 44.3715 -102.9927 -21.4677
-155 5.0625 -18.0275 5.4435 2.8766 10.9389 6.1446 36.5769 44.3715 -102.9889 -21.3905
-154 2.2448 -17.8196 5.4435 2.8766 11.0738 6.1446 36.5698 44.3715 -102.9857 -21.3138
-153 5.5514 -17.6089 5.4435 2.8766 11.2129 6.1446 36.5625 44.3715 -102.9829 -21.2375
-152 3.6924 -17.3955 5.4435 2.8766 11.3559 6.1446 36.5547 44.3715 -102.9805 -21.1619
-151 5.9575 -17.1797 5.4435 2.8766 11.5027 6.1446 36.5466 44.3715 -102.9785 -21.0868
-150 8.2705 -16.9615 5.4435 2.8766 11.6532 6.1446 36.5381 44.3715 -102.9767 -21.0124
-149 11.5759 -16.7412 5.4435 2.8766 11.8072 6.1446 36.5292 44.3715 -102.9751 -20.9388
-148 8.4719 -16.5189 5.4435 2.8766 11.9644 6.1446 36.5200 44.3715 -102.9735 -20.8660
-147 4.7712 -16.2948 5.4435 2.8766 12.1248 6.1446 36.5103 44.3715 -102.9719 -20.7942
-146 10.5147 -16.0689 5.4435 2.8766 12.2882 6.1446 36.5002 44.3715 -102.9702 -20.7233
-145 5.4921 -15.8414 5.4435 2.8766 12.4543 6.1446 36.4897 44.3715 -102.9681 -20.6534
-144 6.1877 -15.6124 5.4435 2.8766 12.6230 6.1446 36.4787 44.3715 -102.9656 -20.5847
-143 8.4738 -15.3821 5.4435 2.8766 12.7940 6.1446 36.4674 44.3715 -102.9625 -20.5172
-142 8.4881 -15.1504 5.4435 2.8766 12.9673 6.1446 36.4556 44.3715 -102.9587 -20.4509
-141 7.4021 -14.9176 5.4435 2.8766 13.1426 6.1446 36.4433 44.3715 -102.9538 -20.3859
-140 1.7210 -14.6838 5.4435 2.8766 13.3197 6.1446 36.4306 44.3715 -102.9479 -20.3223
-139 1.7974 -14.4489 5.4435 2.8766 13.4984 6.1446 36.4174 44.3715 -102.9405 -20.2603
-138 4.4894 -14.2130 5.4435 2.8766 13.6785 6.1446 36.4037 44.3715 -102.9316 -20.1998
-137 11.7879 -13.9763 5.4435 2.8766 13.8598 6.1446 36.3895 44.3715 -102.9209 -20.1409
-136 8.0248 -13.7385 5.4435 2.8766 14.0422 6.1446 36.3749 44.3715 -102.9082 -20.0837
-135 12.3429 -13.4999 5.4435 2.8766 14.2254 6.1446 36.3598 44.3715 -102.8932 -20.0281
-134 10.9578 -13.2603 5.4435 2.8766 14.4091 6.1446 36.3441 44.3715 -102.8756 -19.9743
-133 11.1314 -13.0198 5.4435 2.8766 14.5933 6.1446 36.3280 44.3715 -102.8552 -19.9222
-132 9.7981 -12.7783 5.4435 2.8766 14.7777 6.1446 36.3113 44.3715 -102.8317 -19.8719
-131 12.3778 -12.5358 5.4435 2.8766 14.9621 6.1446 36.2941 44.3715 -102.8048 -19.8235
-130 8.2490 -12.2923 5.4435 2.8766 15.1463 6.1446 36.2764 44.3715 -102.7743 -19.7770
-129 9.2301 -12.0479 5.4435 2.8766 15.3301 6.1446 36.2581 44.3715 -102.7399 -19.7325
-128 7.3284 -11.8028 5.4435 2.8766 15.5133 6.1446 36.2393 44.3715 -102.7013 -19.6904
-127 14.7837 -11.5570 5.4435 2.8766 15.6957 6.1446 36.2200 44.3715 -102.6582 -19.6507
-126 0.6442 -11.3104 5.4435 2.8766 15.8771 6.1446 36.2001 44.3715 -102.6104 -19.6135
-125 2.6255 -11.0630 5.4435 2.8766 16.0573 6.1446 36.1796 44.3715 -102.5575 -19.5787
-124 10.9014 -10.8148 5.4435 2.8766 16.2361 6.1446 36.1586 44.3715 -102.4995 -19.5463
-123 13.6257 -10.5656 5.4435 2.8766 16.4134 6.1446 36.1370 44.3715 -102.4359 -19.5163
-122 14.6910 -10.3156 5.4435 2.8766 16.5888 6.1446 36.1149 44.3715 -102.3667 -19.4888
-121 4.5897 -10.0646 5.4435 2.8766 16.7623 6.1446 36.0921 44.3715 -102.2915 -19.4637
-120 11.5720 -9.8129 5.4435 2.8766 16.9336 6.1446 36.0688 44.3715 -102.2104 -19.4412
-119 13.2715 -9.5606 5.4435 2.8766 17.1026 6.1446 36.0449 44.3715 -102.1230 -19.4213
-118 15.1312 -9.3075 5.4435 2.8766 17.2691 6.1446 36.0204 44.3715 -102.0294 -19.4039
-117 5.4743 -9.0537 5.4435 2.8766 17.4329 6.1446 35.9953 44.3715 -101.9293 -19.3889
-116 12.7082 -8.7994 5.4435 2.8766 17.5939 6.1446 35.9697 44.3715 -101.8229 -19.3762
-115 15.8242 -8.5446 5.4435 2.8766 17.7518 6.1446 35.9434 44.3715 -101.7100 -19.3659
-114 11.2276 -8.2894 5.4435 2.8766 17.9065 6.1446 35.9166 44.3715 -101.5908 -19.3579
-113 13.3895 -8.0342 5.4435 2.8766 18.0578 6.1446 35.8891 44.3715 -101.4652 -19.3522
-112 15.9971 -7.7791 5.4435 2.8766 18.2057 6.1446 35.8611 44.3715 -101.3335 -19.3486
-111 14.4130 -7.5244 5.4435 2.8766 18.3498 6.1446 35.8324 44.3715 -101.1958 -19.3471
-110 22.9602 -7.2703 5.4435 2.8766 18.4902 6.1446 35.8032 44.3715 -101.0523 -19.3477
-109 16.6175 -7.0173 5.4435 2.8766 18.6266 6.1446 35.7733 44.3715 -100.9032 -19.3503
-108 15.7627 -6.7657 5.4435 2.8766 18.7589 6.1446 35.7429 44.3715 -100.7489 -19.3548
-107 17.9155 -6.5159 5.4435 2.8766 18.8870 6.1446 35.7119 44.3715 -100.5898 -19.3612
-106 19.1294 -6.2685 5.4435 2.8766 19.0107 6.1446 35.6803 44.3715 -100.4262 -19.3695
-105 16.4399 -6.0239 5.4435 2.8766 19.1300 6.1446 35.6480 44.3715 -100.2585 -19.3795
-104 11.9768 -5.7826 5.4435 2.8766 19.2446 6.1446 35.6152 44.3715 -100.0874 -19.3913
-103 20.1826 -5.5452 5.4435 2.8766 19.3545 6.1446 35.5818 44.3715 -99.9132 -19.4047
-102 13.7478 -5.3124 5.4435 2.8766 19.4597 6.1446 35.5478 44.3715 -99.7365 -19.4197
-101 16.2663 -5.0847 5.4435 2.8766 19.5599 6.1446 35.5133 44.3715 -99.5579 -19.4362
-100 15.3691 -4.8628 5.4435 2.8766 19.6552 6.1446 35.4782 44.3715 -99.3780 -19.4543
-99 17.8898 -4.6473 5.4435 2.8766 19.7453 6.1446 35.4424 44.3715 -99.1975 -19.4737
-98 19.0715 -4.4388 5.4435 2.8766 19.8303 6.1446 35.4062 44.3715 -99.0171 -19.4945
-97 24.8445 -4.2382 5.4435 2.8766 19.9100 6.1446 35.3693 44.3715 -98.8372 -19.5165
-96 21.1928 -4.0460 5.4435 2.8766 19.9845 6.1446 35.3319 44.3715 -98.6587 -19.5398
-95 16.4277 -3.8628 5.4435 2.8766 20.0535 6.1446 35.2940 44.3715 -98.4822 -19.5643
-94 17.9293 -3.6895 5.4435 2.8766 20.1172 6.1446 35.2555 44.3715 -98.3084 -19.5899
-93 17.7774 -3.5265 5.4435 2.8766 20.1753 6.1446 35.2165 44.3715 -98.1379 -19.6166
-92 17.8980 -3.3745 5.4435 2.8766 20.2280 6.1446 35.1769 44.3715 -97.9714 -19.6443
-91 26.8372 -3.2342 5.4435 2.8766 20.2751 6.1446 35.1369 44.3715 -97.8095 -19.6730
-90 23.2191 -3.1060 5.4435 2.8766 20.3167 6.1446 35.0963 44.3715 -97.6527 -19.7025
-89 19.4394 -2.9905 5.4435 2.8766 20.3526 6.1446 35.0552 44.3715 -97.5017 -19.7329
-88 24.1775 -2.8882 5.4435 2.8766 20.3830 6.1446 35.0136 44.3715 -97.3570 -19.7641
-87 20.7565 -2.7996 5.4435 2.8766 20.4077 6.1446 34.9716 44.3715 -97.2191 -19.7961
-86 17.7723 -2.7250 5.4435 2.8766 20.4269 6.1446 34.9291 44.3715 -97.0884 -19.8288
